plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
1334,511,52764,0.1967777,0.193333544,0.173372508,0.772192958,0.586269301,1.445464712,0.902611249,0.117883519,0.33651328,0.284306164,0.501037014,0.194688736,0.258020314,0.0455661,0.037895898,1.042367364,3.500720152,10.02060006, ,0.011692295,0.100540593,0.163653584,0.072389097,0.555667379,3.23133883,1.635555372,0.51035149,0.400244228
271,439,51883,0.116298, , ,0.908013514,2.349926673,0.935681124,1.03791393,0.460731916,0.032357278,0.260632789,0.470546939,0.144379544,0.257317688,0.029393691, ,0.979118416,3.592526982,10.25470013,0.019929765,0.038651894,0.054150574,0.260418331,0.094129615,0.462292504,3.035267089,1.359159199,0.707028049,0.40590309
1104,441,52912,0.3581432,0.133185734,0.018703435, ,1.27287909,1.42074548,0.111678415, ,0.271533876, ,0.237330632, , , ,0.044599301,0.670028522,0.156704369,0.43979506,0.011826688,0.033782392,0.145643459,0.079711499,0.002736354,0.231459286,2.077088417,0.675799019,0.305498698,0.24527442
523,209,52026,0.1641583, ,0.348852238,0.888125144,2.470292761,1.178567218,1.073465001,0.168924399,0.265199999,0.196387586,0.534918472,0.139526757,0.289844595,0.071891312, ,0.985229018,3.936470781,11.23959404,0.050207092,0.067806487,0.032430442,0.494367208,0.221365903,0.783246951,3.054209957,2.3030415,0.89019488,0.788377189
1416,285,52875,0.188726, , , ,0.293246047,0.480212149,2.182399161,0.016145238,0.219526278,0.143113385,0.358174437, ,84.31735615, , ,0.680841221,0.088916086,0.249723709,0.016685136,0.025530631,0.005539515,0.052305223,0.036653423,0.324596822,2.110607786,0.948013096,0.299175568,0.199969772
2519,445,54570,0.1897984, ,0.186419326,0.373078604,1.001070535,1.024151511,0.377820726,0.166646748,0.237823303,0.167534175,0.299449768, , ,0.036493912, ,0.647655365,0.608982848,1.706537823,0.015709494,0.022699904,0.044236335,0.083387645,0.04441095,0.465723794,2.007731633,1.358944862,0.316507447,0.248742265
5873,465,56035,0.4257198,0.062469254,0.197325188,0.423149109, ,3.016144281,0.874859493,0.39061848,0.017070382,0.239498634,0.496278577,0.170769876,0.164013527,0.023778712, ,1.061419212,3.364183434,9.637563218,0.047910728,0.00832477,0.089694442,0.356861599,0.160585217,0.360295229,3.290399557,1.060846975,0.662550328,0.656439284
788,227,52338,0.1706209, ,0.366370685,0.760375681,1.551488482,0.642143653,0.719831279,0.280295962,0.107889148,0.164016915,0.455771208,0.051827131,0.209515218,0.027846852, ,0.887104293,2.14193923,6.087188152, ,0.049098662,0.119201587,0.234621838,0.0457049,1.043955422,2.75002331,3.063742884,0.535197307,0.525272514
991,299,52707,0.1563667, ,0.445898904,1.059665407,1.093925628,1.961832785,1.041493423,0.283041964,0.162521469,0.188318581,0.378383886,0.19513959,0.217695844,0.102615441,0.02809203,0.984008332,3.676398174,10.49643707,0.050698777,0.054120287,0.051448986,0.499199646,0.173540423,0.686541877,3.050425828,2.018645011,0.643074459,0.55985755
1460,91,53138,0.1904555, , , ,1.763004069,1.606440577,0.265067145,0.188257256,0.050974161, ,0.332834589, , , ,0.20887094,1.067850343,0.480846835,1.377879462, ,0.16594125,0.21823451,0.294589746,0.107600569,1.334039608,3.310336064,3.928355843,1.408649021,1.496232413
2011,244,53499,0.06808884, , , ,1.925947298,1.683154025,0.939652439,0.374731149,0.106259452,0.239569964,0.49008627,0.055994094,0.214010297,0.006938035,0.069938667,0.952598328,3.034071048,8.650005416, ,0.058270991,0.123972888,0.390981063,0.115866123,0.640815058,2.953054816,1.883077785,1.006507132,0.836686487
2116,159,53854,0.1895672, , , ,1.134451116,1.192717832,0.141974184,0.080577161,0.136092811,0.198642322,0.410087434, , , ,0.025479327,0.885147934,0.654380173,1.859503457,0.00663201,0.016183981,0.110317711,0.089030417,0.027054027,0.184160854,2.743958596,0.540443262,0.36823832,0.266882338
5064,267,55864,0.5256366,0.170811942,0.231421849,0.48882719,1.307811044,3.364529786,1.117143208,0.421499493,0.103121988,0.278166785,0.529137036,0.126303172,0.335784536, , ,1.179883372,3.634553304,10.46139994,0.114161428, ,0.110742345,0.395418662,0.546099019,0.655097304,3.657638454,1.932589824,0.907931607,0.715451695
5707,981,56269,0.3824165,0.190192953,0.519523835,1.331118286, ,2.35942984,1.017507055,0.4263243,0.130812974,0.296628144,0.529033749,0.198410972,0.257774528,0.065864029, ,0.918049228,3.584421043,10.20219122,0.082912701, ,0.077364433,0.192097186,0.154368256,0.624382272,2.845952608,1.833550891,0.627337937,0.547122573
367,81,51997,0.1912203,0.931207099,0.265732622,0.221322902,3.203854084,0.432789876, ,1.264810443,0.117547823,0.237717435,0.308422846, ,1481874.056, , ,0.686650639,0.17951357,0.504360994, , ,0.063843916,0.163526891,0.15785937,0.597430853,2.12861698,1.745119498,0.411014576,0.290268941
699,370,52202,0.1886561, ,0.023865636,4.851067976,1.783158601,1.50084106,0.17369282,0.16961614,0.134946896,0.243894123,0.429917936, ,0.375472971, , ,0.956851674,0.908984964,2.591991561, ,0.074063094,0.122696513,0.088388146,0.060626165,0.102858286,2.966240188,0.30228053,0.435044749,0.319320325
724,300,52254,0.1653478, ,6.348513204,0.217222231, ,3.666536493,0.436013284,0.118004924, , ,0.259370563, ,0.448302281,0.090241506, ,0.821313515,0.308857464,0.874729746, , ,0.144702812,0.30986466,0.079670632,0.548830921,2.546071898,1.608412188,0.47954206,0.63638635
1611,608,53147,0.05771429, , , ,1.493600393,1.135498516,0.817076565,0.226331773,0.060732626,0.274930154,0.43273616,0.115347789,0.227233299, ,0.042951324,0.983949951,2.847881562,8.130929378, ,0.046290058,0.050892398,0.24328724,0.126509698,0.672303034,3.050244848,1.976777607,0.750076676,0.728897867
623,303,52051,0.05134744, , , , ,2.176325335,0.930771291,0.111262811,0.35587689,0.318352135,0.498478023,0.133731821,0.477032377,0.181479847,0.090723868,1.007678331,3.719411004,10.63051916, ,0.064368501,0.329247516,0.280372014,0.088335052,0.681723468,3.123802827,2.005349009,0.57140407,0.523229108
1563,476,52941,0.1895765,0.222345283,0.068525075, ,0.923800917,1.042063789,0.021380338, ,0.318342483,0.230978184,0.235782777,0.016802456, ,0.07475834,0.005573609,0.972888935,0.200456814,0.572031604,0.144099702,0.183919224,0.051708806,0.190834739, ,0.320898334,3.015955698,0.943344435,0.70074608,0.377648991
2762,311,54533,0.06087991, , , ,0.324746763,2.256913837,0.917353906, ,0.488459561,0.215018579,0.511820724,0.224699962,0.159858747, ,0.076427307,0.931585033,3.219111996,9.168414319, ,0.105008102,0.170380287,0.494737309,0.225209296,1.187964167,2.887913601,3.489489203,0.904811917,0.71252257
272,238,51941,0.1127377, , ,0.405264537,2.268935659,2.594156033,0.986011919,0.132143335,0.273169581,0.265561442,0.507770705,0.207599046,0.180347838,0.020258512,0.029159105,1.042211107,3.072979005,8.796157293, ,0.019817844,0.117840063,0.462360868,0.168681324,0.310660832,3.230854432,0.914398987,0.752294294,0.611373436
1024,125,52826,0.1510618, ,0.082034366,0.299305871, ,1.935097936,0.460009222,0.026082421,0.335587801,0.213554271,0.386041348,0.074848188,0.203824278,0.057750345,0.043390288,0.896031794,1.595531397,4.536377149, ,0.04018288,0.092757447,0.127601203,0.045155079,0.651033184,2.777698561,1.910966148,0.583135585,0.50488406
1264,184,52707,0.1887365, , , ,1.078174942,0.514008886, ,0.115499087,0.206695841,0.103521911,0.426314179, ,141.8245037, ,0.046578816,0.808996838,0.132903165,0.376147431, ,0.05925427,0.080080911,0.077141299,0.083031348,0.345216929,2.507890198,1.011418528,0.412698894,0.327581595
1274,353,52995,0.08156145, , , ,1.729461938,0.904273362,0.369960193,0.026023189,0.231379166,0.206620931,0.368035724, ,0.1475,0.032653994,0.048632239,0.731571534,0.924498291,2.604827399, , , ,0.103102357,0.043056906,0.769797097,2.267871755,2.251214099,0.467414796,0.387514228
2168,142,53886,0.06166442, , , ,2.307188153,1.047210458,0.880929556,0.279630744,0.232854407,0.132530636,0.402274641,0.101298617,0.207024678,0.019887096,0.0249453,1.084458004,3.404471049,9.762329486,0.14008142, ,0.098281225,0.516841536,0.198265003,1.839601492,3.361819812,5.418617079,1.336918647,1.35014669
2434,265,53826,0.1317669, , ,1.200922694,0.474611416,2.156586121,0.857371251,0.357155943,0.023278858,0.24612953,0.417940401,0.080853981,0.209005759, , ,0.969843867,2.866156603,8.177833088,0.034280088,0.011157762,0.134013282,0.420582175,0.157888769,0.876241571,3.006515987,2.57573907,0.893763403,0.737532038
5973,259,56067,0.4138941,0.244550634,0.286386929,0.583924335,2.791473351,1.481930863,0.862980027,0.178915328,0.303329443,0.25285886,0.486318281,0.093372899,0.319667496,0.009059418,0.037100162,1.112057398,2.752903975,7.902820958,0.083015665, ,0.118412538,0.342024643,0.173670244,0.955471775,3.447377934,2.815670081,1.258715129,0.705103111
6805,682,56442,0.3587534, ,0.014338238,0.045804271,1.005727062,1.093101707,0.089186333,0.064579866,0.106268701, ,0.32973543, ,0.353884861,0.017494711,0.009021138,0.708389857,0.261877417,0.736794661,0.019135733,0.018845749,0.074698146,0.067407144,0.00110011,0.358018117,2.196008557,1.046381306,0.311265113,0.280476418
308,412,51662,0.2060622,0.036104066,0.01761007,1.909364975,0.980197942,0.818689077,0.318198252,0.112717307,0.142537668,0.20593254,0.420580354,0.020187984,0.020212651,0.006471914, ,0.875723533,1.390473654,3.949318734,0.013678211,0.006194023,0.11100287,0.064867552, ,0.094969856,2.714742953,0.278646591,0.203864399,0.150534679
373,595,51788,0.04491102, , , ,1.535324485,1.489957423,0.243947695,0.115322879,0.084864868,0.274366694,0.47459402,0.038083568,0.074741268,0.0167285,0.019837478,1.003570567,0.804713017,2.299546459, ,0.016673964,0.127226961,0.110267425,0.049806623,0.356484744,3.111068756,1.048552617,0.641318025,0.458087568
725,42,52258,0.1897047,4.780855205, ,0.842612371,3.222756509,4.085281024,0.65871689,0.096907187,0.250845481,0.056647178,0.362646153, , , , ,0.69938799,0.76014184,2.137446563,0.002877168,0.200532348,0.095093792,1.041558457,0.368758329,0.843068269,2.16810277,2.463464046,1.100303897,0.92691482
766,615,52247,0.06573827, , , ,1.887935202,0.667505706,0.697133217,0.216602076,0.130414613,0.099908673,0.462678439,0.125921687,0.202776376, , ,0.989020527,2.89945695,8.280083288,0.081906145,0.074605104,0.223742472,0.793733817,0.27795538,1.713354934,3.065963635,5.03826233,1.324906249,1.143387607
901,638,52641,0.07603364, , , ,1.941470915,2.162507102,0.967736082,0.146900815,0.184713531,0.229895851,0.45669068,0.062551306,0.318793375, ,0.104284602,0.944987838,3.347975298,9.541516429, ,0.081551446,0.031563557,0.488969786,0.185067666,0.941434036,2.929462299,2.766062566,1.063766767,0.765830508
2010,8,53495,0.1907565, , , ,0.783009855,0.878059885,0.052931523,0.071332963,0.191363511,0.223847078,0.395915129, ,72938035464,0.032509078,0.03009884,0.837820522,0.195665731,0.554646396,0.038947766,0.007077468,0.095656321,0.048175883,0.016232543,0.311819497,2.59724362,0.914155204,0.370256016,0.271627254
