plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
505,134,52317,0.1067892,0,0,5.141362E+11,3107.134,0,812.8193,408.959,3.226427,198.4589,456.2632,121.0451,226.1198,0,32.65772,1033.311,3083.891,8811.117,10.878,114.7966,111.1344,406.6967,117.4281,1176.339,3323.756,3459.822,1080.1,889.1137,0,0,-1,75.20461,0,31.0406,35.80293,0,22.0757,24.0311,23.94445,21.39561,0,26.49179,27.08496,46.35355,132.4387,30.70638,28.68081,20.67826,23.3283,21.75378,18.12823,66.00282,53.31832,38.30411,33.00097
1543,512,53738,0.1888131,1.74583,6.737715,3.190352,55.83483,71.07087,4.392756,0.03594284,11.19504,14.13183,19.32501,0,75643.04,0,0,53.43987,15.7313,44.94656,2.143377,0.007189834,7.927493,4.719694,0,14.74818,187.3332,43.37701,37.43453,22.45189,50.89879,5.749617,4.710192,8.488784,9.625613,3.192529,0,6.969742,2.771856,2.790325,0,9756290,0,0,5.250841,1.719327,4.912363,7.359649,0,2.449018,2.741905,0,1.298784,10.83698,3.819953,5.287018,3.140956
1628,625,53474,0.0478218,0,0,0,995.5372,962.9816,605.3517,189.2423,150.4147,227.3002,410.2774,109.0357,165.6193,13.32006,14.86517,855.4327,1617.11,4620.314,0,25.88535,70.18333,245.6158,85.63367,562.2869,2662.482,1653.785,629.0305,518.3764,0,0,0,203.5816,185.5253,21.61136,71.24352,68.63996,16.27098,16.73524,15.46355,13.11699,15.96139,10.73033,21.61334,24.27986,69.37103,0,8.200373,12.90839,12.17908,12.00707,9.212758,35.39758,27.09635,15.62911,14.20447
2884,23,54526,0.1908414,4.367575,15.73481,0,17.05508,156.299,10.95352,16.38129,1.65326E-16,3.409893,4.652446,0,9.461462E+10,0,0,29.10965,20.56041,58.74403,3.544185,0,0,27.97632,17.9642,33.16804,129.0024,97.55305,61.62206,28.21243,276.7214,11.81272,0,287.9157,121.7257,4.635507,10.90465,0,11.16177,54.14585,0,3790162,0,0,7.075803,2.736506,7.818588,3.726242,0,0,7.388227,7.188329,3.41243,8.467647,10.03656,12.59002,11.7092
3776,362,55209,0.5527019,0,1.852057,0.3414851,10.84029,4.102026,3.232803,6.420082,0,0,5.314607,0,6.240516,1.648751,0.9581733,13.02896,4.475499,12.78714,0.3334863,0,0.3254786,10.68246,0,13.45456,76.22746,39.57224,0,0,0,1.553338,10.48162,4.598312,4.079268,3.193989,2.821753,0,0,1.482447,0,3.996479,2.952096,4.598341,1.871277,0.7489856,2.139959,3.207237,0,2.302242,5.723296,0,3.709268,20.07868,10.90961,0,0
513,274,51989,0.04658513,0,0,0,747.9493,971.1625,448.5185,142.7016,76.22771,207.5246,336.1509,88.21066,139.5801,58.53166,29.82446,709.4178,1348.902,3854.006,0,14.20957,86.57279,171.1791,52.95128,559.9722,2372.669,1646.977,538.963,466.7915,0,0,0,2649.523,2620.383,31.64094,30.4039,29.24421,25.07591,32.43183,53.14904,15.10999,0,33.4147,22.82735,17.56474,50.18496,0,18.90033,14.24357,14.24432,12.72329,7.207202,30.64619,21.19765,14.3078,16.04799
630,296,52050,0.141223,0,5.907354E+07,112.8479,186.8391,100.7695,112.3297,5.044389,30.51933,7.006903,34.73932,5.138244,21.81198,0,0.7390494,102.0402,346.1008,988.8594,0,0.8035729,23.74616,45.2456,16.68841,141.969,430.5288,417.5558,97.72828,86.02889,0,2.382303E+09,22.51057,276.1625,309.3165,12.07011,48.52054,18.02459,3.962276,7.406209,8.069245,6.221565,0,26.75746,9.017186,6.91981,19.77089,0,33.20205,7.37774,6.765301,8.973394,3.546514,10.85098,10.43092,8.9804,7.685173
1027,10,52557,0.1908883,8.518069,8.156301,0,50.17655,59.11514,15.1568,0,6.004035,7.201685,9.720418,4.130145,1.333325E+13,3.141552,2.310239,48.19471,17.43898,49.82565,0.7959692,0,3.120469,11.58008,2.947811,13.43137,181.0556,39.50402,47.13215,26.12337,10.7729,66.40083,0,30.66012,25.79931,6.315499,0,3.762913,3.650504,2.811871,5.19407,3.398358E+08,4.381435,15.09081,6.249449,2.031407,5.80402,4.50578,0,5.718175,3.235194,3.091757,1.571223,11.08543,4.621245,7.288706,4.76806
1061,174,52641,0.05226832,0,0,0,736.4993,381.2246,437.9434,83.71855,51.68443,122.0124,173.4339,67.16594,94.04346,10.50768,28.50291,416.8662,1272.274,3635.068,0.7774122,0,0,0,0,223.5568,1358.25,657.5201,299.7556,273.6746,0,0,0,870.2102,1263.65,37.91555,21.84595,31.05072,18.58738,18.43416,28.10588,16.60027,21.76156,14.96266,24.95613,43.12155,123.2044,119.5141,0,0,0,0,8.214199,42.72718,24.15941,14.69078,12.89187
1325,173,52762,0.1110726,0,0,209.2841,226.4113,158.5971,148.0486,29.77701,33.08044,40.45035,81.53299,12.98802,38.03413,0,5.291707,164.5448,452.7893,1293.684,2.770175,3.002372,0,70.77813,26.59594,180.5299,646.383,530.9703,145.3378,152.7324,0,0,29.45039,95.31115,79.90537,12.74654,20.15698,18.78947,9.911691,8.222539,6.883502,7.429489,0,218878.5,9.206472,12.27643,35.07551,116942.3,9952879,0,6.355178,5.880075,4.929813,17.94072,14.49945,7.635691,9.350927
