"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
8.0919,0.352604,-0.450237570904,0.776923625884
8.1252,0.3383352,-0.412927594261,0.930437166117
8.1585,0.3254384,-0.381797797798,0.91726249662
8.1918,0.3130904,-0.35433033033,0.945521208006
8.2251,0.3015656,-0.320682682683,1.01693173543
8.2584,0.2916872,-0.285203870537,1.06733916655
8.2917,0.282632,-0.249953953954,1.1330215768
8.325,0.2749488,-0.2114994995,1.24300142652
8.3583,0.2683632,-0.167322655989,1.35374502519
8.3916,0.2636984,-0.119483483483,1.40587089147
8.4249,0.2604056,-0.0714154154154,1.38372217173
8.4582,0.2590336,-0.0260940940941,1.31727601253
8.4915,0.2587592,0.016022689356,1.25655797049
8.5248,0.2601312,0.0567660994328,1.22696269843
8.5581,0.2626008,0.0961361361361,1.24815673197
8.5914,0.2664424,0.138481815148,1.29970978653
8.6247,0.271656,0.184718718719,1.28290730949
8.658,0.2787904,0.228666666667,1.13435813747
8.6913,0.2872968,0.261169836503,0.956786505113
8.7246,0.296352,0.287950617284,0.89186784382
8.7579,0.3062304,0.319538204872,0.866091316542
8.7912,0.3177552,0.347463463463,0.814920136464
8.8245,0.3295544,0.372184184184,0.800027031814
8.8578,0.3424512,0.398278278278,0.817211383333
8.8911,0.3556224,0.433299299299,0.657396914209
8.9244,0.3720864,0.448406406406,0.323638620269
8.9577,0.3860808,0.446346346346,0.156950410537
8.991,0.4008984,0.461911244578,-0.115135155175
9.0243,0.4176368,0.45183983984,-0.684128127683
9.0576,0.43218,0.409265265265,-0.994019266736
9.0909,0.4450768,0.363257257257,-0.662743156904
9.1242,0.4552296,0.351354688021,0.0137474812149
9.1575,0.4667544,0.383628962296,0.126973263999
9.1908,0.481572,0.393242575909,-0.659688161078
9.2241,0.4955664,0.333043043043,-1.29149948525
9.2574,0.503524,0.275132465799,-1.08146852224
9.2907,0.5123048,0.256363029696,-0.704367475027
9.324,0.5202624,0.247893893894,-0.812819826834
9.3573,0.5298664,0.213330663997,-1.24223767756
9.3906,0.5353544,0.153131131131,-1.39498746884
9.4239,0.539196,0.11192992993,-1.30467415475
9.4572,0.5427632,0.0721021021021,-1.317657887
9.4905,0.5444096,0.024034034034,-1.32147663179
9.5238,0.5441352,-0.018998331665,-1.25350297467
9.5571,0.5430376,-0.0588261594928,-1.18877525061
9.5904,0.5402936,-0.0988828828829,-1.10972723363
9.6237,0.5361776,-0.132072739406,-1.06046542594
9.657,0.5315128,-0.165720387054,-1.10896348467
9.6903,0.525476,-0.206921588255,-1.1461962463
9.7236,0.5175184,-0.24446046046,-1.12538408723
9.7569,0.509012,-0.277879212546,-1.16739027984
9.7902,0.4996824,-0.326862862863,-1.03125202836
9.8235,0.4867856,-0.359137137137,-0.541688947317
9.8568,0.4749864,-0.366919586253,0.023676217648
9.8901,0.4612664,-0.344487821154,0.19227379977
9.9234,0.4524856,-0.333500834168,-0.238480611632
9.9567,0.440412,-0.361426092759,-0.664652529295
9.99,0.4283384,-0.3902669336,-0.714869023177
10.0233,0.4146184,-0.422541207875,-0.342159532461
10.0566,0.3989776,-0.418649983317,0.197620042465
10.0899,0.3860808,-0.395989322656,0.387602595366
10.1232,0.373184,-0.384544544545,0.352470143372
10.1565,0.360836,-0.380653319987,0.497391507846
10.1898,0.347116,-0.358221554888,0.81148326616
10.2231,0.3364144,-0.319309309309,0.940938714268
10.2564,0.3262616,-0.289323990657,0.89186784382
10.2897,0.3172064,-0.260940940941,0.848525090545
10.323,0.3089744,-0.235762429096,0.885757852169
10.3563,0.3012912,-0.204174841508,0.99535582741
10.3896,0.2952544,-0.1684671338,1.08242320844
10.4229,0.2900408,-0.130928261595,1.13130314165
10.4562,0.2864736,-0.0917871204538,1.13531282367
10.4895,0.284004,-0.0544771438105,1.11297316669
10.5228,0.2829064,-0.0187694361028,1.11450066461
10.5561,0.282632,0.0196850183517,1.11774659767
10.5894,0.2842784,0.0567660994328,1.09158819591
10.6227,0.2864736,0.092016016016,1.06733916655
10.656,0.2903152,0.128868201535,1.01349486512
10.6893,0.2952544,0.16022689356,0.94036590255
10.7226,0.3010168,0.190212212212,0.896832212036
10.7559,0.3078768,0.220426426426,0.843369785089
10.7892,0.3158344,0.246749416083,0.785515801643
10.8225,0.3243408,0.271699032366,0.759930211604
10.8558,0.3339448,0.296648648649,0.748283040019
10.8891,0.3440976,0.321140473807,0.72479775961
10.9224,0.3550736,0.349981314648,0.5621192319
10.9557,0.3679704,0.362799466133,0.304544896359
10.989,0.3797696,0.362341675008,0.24306310537
11.0223,0.3915688,0.373557557558,0.289842728948
11.0556,0.4041912,0.393242575909,0.0238671548871
11.0889,0.4187344,0.385917917918,-0.53252395984
11.1222,0.430808,0.349981314648,-0.874110680584
11.1555,0.441784,0.317249249249,-0.852534772566
11.1888,0.4522112,0.282228228228,-0.472378729525
11.2221,0.45962,0.276734734735,0.112843908306
11.2554,0.469224,0.308551217885,0.131173883259
11.2887,0.4812976,0.308551217885,-0.518012729669
11.322,0.4909016,0.274445779112,-1.20099523392
11.3553,0.5005056,0.211499499499,-1.40281589564
11.3886,0.5043472,0.163889222556,-1.09273381935
11.4219,0.510384,0.144433099766,-0.881939107387
11.4552,0.5145,0.114218885552,-0.907715634665
11.4885,0.5180672,0.0828601935269,-0.945712145245
11.5218,0.519988,0.0501281281281,-0.969388362893
11.5551,0.52136,0.0187694361028,-0.995928639127
11.5884,0.52136,-0.016022689356,-1.02380547604
11.6217,0.5202624,-0.0501281281281,-1.0270514091
11.655,0.5180672,-0.0853780447114,-0.996883325323
11.6883,0.5145,-0.117881214548,-0.928145919248
11.7216,0.5101096,-0.146950950951,-0.876783801931
11.7549,0.5046216,-0.173731731732,-0.907906571904
11.7882,0.4985848,-0.203717050384,-1.01750454715
11.8215,0.4914504,-0.243544878212,-1.01082174378
11.8548,0.4826696,-0.285890557224,-0.591523566721
11.8881,0.4711448,-0.292528528529,0.0463977491005
11.9214,0.4618152,-0.262772105439,0.13518356528
11.9547,0.4549552,-0.264832165499,-0.309700201815
11.988,0.4450768,-0.292299632966,-0.586750135744
12.0213,0.434924,-0.311526860194,-0.637348504104
12.0546,0.4244968,-0.334416416416,-0.600688554198
12.0879,0.412972,-0.360739406073,-0.286405858645
12.1212,0.3995264,-0.360052719386,0.189218803945
12.1545,0.388276,-0.338765432099,0.417006930187
12.1878,0.3773,-0.323200533867,0.397722269038
